"namespace","kind","name","ready","replicas","service_account","role","tier","env","data_classification","exposure","team","containers","images","container_ports","vault_injection","spire_enabled","readonly_rootfs_all","run_as_non_root_all"
"kube-system","Deployment","tetragon-operator","1/1","1","tetragon-operator-service-account","","","","","","","tetragon-operator","quay.io/cilium/tetragon-operator:v1.7.0","2113/TCP","no","no","no","yes"
"local-path-storage","Deployment","local-path-provisioner","1/1","1","local-path-provisioner-service-account","","","","","","","local-path-provisioner","rancher/local-path-provisioner:v0.0.30","","no","no","no","no"
"management","Deployment","phpmyadmin","1/1","1","phpmyadmin","ui","T3","prod","internal","internal","platform","phpmyadmin","phpmyadmin/phpmyadmin:latest","80/TCP","no","no","no","no"
"monitoring","Deployment","grafana","1/1","1","grafana","ui","T2","prod","internal","internal","platform","grafana","grafana/grafana:10.4.0","3000/TCP","no","no","no","no"
"monitoring","Deployment","kibana","1/1","1","kibana","ui","T2","prod","internal","internal","platform","kibana","docker.elastic.co/kibana/kibana:7.17.18","5601/TCP","no","no","no","no"
"monitoring","Deployment","kube-state-metrics","1/1","1","kube-state-metrics","scraper","T2","prod","none","cluster-only","platform","kube-state-metrics","registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0","8080/TCP|8081/TCP","no","no","no","no"
"monitoring","Deployment","prometheus","1/1","1","prometheus","monitoring","T2","prod","none","cluster-only","platform","prometheus","prom/prometheus:v2.51.0","9090/TCP","no","no","no","no"
"security-cdm","Deployment","trivy-operator","1/1","1","trivy-operator","","","","","","","trivy-operator","ghcr.io/aquasecurity/trivy-operator:0.20.0","8080/TCP|9090/TCP","no","no","yes","no"
"security","Deployment","keycloak","1/1","1","keycloak","sso","T1","prod","confidential","internal","security","keycloak","100.74.189.43:5443/job7189/keycloak-custom:v1.0","8080/TCP","no","no","no","no"
"security","Deployment","oauth2-proxy","1/1","1","oauth2-proxy","proxy","T1","prod","confidential","internal","security","oauth2-proxy","quay.io/oauth2-proxy/oauth2-proxy:v7.6.0","4180/TCP","no","no","no","no"
"security","Deployment","opa","1/1","1","opa","","","","","","","opa;mgmt","openpolicyagent/opa:1.10.1;openpolicyagent/kube-mgmt:11.0.7","8181/TCP|8182/TCP;","no","no","no","no"
"security","Deployment","zta-pdp","1/1","1","zta-pdp","pdp","T1","prod","confidential","cluster-only","security","controller","python:3.11-slim","9100/TCP","no","no","no","no"
"spire","Deployment","spire-spiffe-oidc-discovery-provider","1/1","1","spire-spiffe-oidc-discovery-provider","","","","","","","spiffe-oidc-discovery-provider;nginx","ghcr.io/spiffe/oidc-discovery-provider:1.14.5;docker.io/nginxinc/nginx-unprivileged:1.29.5-alpine","8008/TCP;8080/TCP","no","yes","no","no"
"vault","Deployment","vault-agent-agent-injector","1/1","1","vault-agent-agent-injector","","","","","","","sidecar-injector","hashicorp/vault-k8s:1.7.4","","no","no","no","no"
"vault","Deployment","vault-dev","1/1","1","vault-dev","secret-store","T1","dev","internal","cluster-only","security","vault-dev","hashicorp/vault:1.17","8300/TCP","no","no","no","no"
"data","StatefulSet","kafka","1/1","1","default","broker","T1","prod","confidential","cluster-only","data","kafka","apache/kafka:3.7.0","9092/TCP|9093/TCP","no","no","no","no"
"monitoring","StatefulSet","es","1/1","1","default","db","T2","prod","internal","cluster-only","platform","elasticsearch","docker.elastic.co/elasticsearch/elasticsearch:7.17.18","9200/TCP","no","no","no","no"
"spire","StatefulSet","spire-server","1/1","1","spire-server","","","","","","","spire-server;spire-controller-manager","ghcr.io/spiffe/spire-server:1.14.5;ghcr.io/spiffe/spire-controller-manager:0.6.4","8081/TCP|8080/TCP;9443/TCP|8083/TCP","no","no","no","no"
"vault","StatefulSet","vault","1/1","1","vault","secret-store","T1","prod","confidential","cluster-only","security","vault","hashicorp/vault:1.17","8200/TCP|8201/TCP","no","no","no","no"
"kube-system","DaemonSet","cilium","4/4","4","cilium","","","","","","","cilium-agent","quay.io/cilium/cilium:v1.19.4@sha256:2eb67991eaa9368ba199c2fac2c573cb0ffdeb79184533344f42fc9a7ff6af3c","9879/TCP|4244/TCP|9965/TCP","no","no","no","no"
"kube-system","DaemonSet","cilium-envoy","4/4","4","cilium-envoy","","","","","","","cilium-envoy","quay.io/cilium/cilium-envoy:v1.36.6-1778235340-b87d1e32f522b33bd51701c6476d199326f01496@sha256:71d4fa0ec45e8d546dbd5604e169dc77fe92be63b799313bff031d00d89762e3","9964/TCP","no","no","no","no"
"kube-system","DaemonSet","containerd-certs-setup","4/4","4","default","","","","","","","pause","registry.k8s.io/pause:3.9","","no","no","no","no"
"kube-system","DaemonSet","tetragon","3/3","3","tetragon","","","","","","","export-stdout;tetragon","quay.io/cilium/hubble-export-stdout:v1.1.1;quay.io/cilium/tetragon:v1.7.0",";","no","no","no","no"
"monitoring","DaemonSet","filebeat","3/3","3","filebeat","scraper","T2","prod","none","cluster-only","platform","filebeat","docker.elastic.co/beats/filebeat:7.17.18","","no","no","no","no"
"monitoring","DaemonSet","hubble-flow-shipper","4/4","4","hubble-flow-shipper","scraper","T2","prod","internal","cluster-only","platform","filebeat","docker.elastic.co/beats/filebeat:8.10.4","","no","no","yes","no"
"monitoring","DaemonSet","node-exporter","4/4","4","default","scraper","T2","prod","none","cluster-only","platform","node-exporter","prom/node-exporter:v1.7.0","9100/TCP","no","no","no","no"
"spire","DaemonSet","spiffe-csi-driver","3/3","3","spiffe-csi-driver","","","","","","","spiffe-csi-driver;node-driver-registrar","ghcr.io/spiffe/spiffe-csi-driver:0.2.7;registry.k8s.io/sig-storage/csi-node-driver-registrar:v2.9.4",";9809/TCP","no","no","no","no"
"spire","DaemonSet","spire-agent","4/4","4","spire-agent","","","","","","","spire-agent","ghcr.io/spiffe/spire-agent:1.14.5","9982/TCP","no","no","no","no"
